address,eth_balance
0x742d35cc6634c0532925a3b844bc454e4438f44e,3836061615941836500000001
0xdc76cd25977e0a5ae17155770273ad58648900d3,3125760535463887010445000
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,2507764425435465820651570
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2381646713533211711872996
0x53d284357ec70ce289d6d64134dfac8e511c8a3d,1378754144654898911481302
0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,999999024704265377777771
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,801052799959724594886000
0x997114ca0830e9bee7443368fa27f4af2d4e55a6,789534621128200000000001
0x07ee55aa48bb72dcc6e9d78256648910de513eca,786529711484627140000001
0x66f820a414680b5bcda5eeca5dea238543f42054,775000573796295945276777
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,675998953580340000000001
0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,657334142686969707175071
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,585633603350234536909365
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,560000000030000000000000
0x267f70f9b856de226fea5fc1b0a8e319c72ceff5,539424494867785480729847
0x73bceb1cd57c711feac4224d062b0f6ff338501e,514911786772172000000000
0xe92d1a43df510f82c66382592a047d288f85226f,450000020665726438778778
0x558553d54183a8542f7832742e7b4ba9c33aa1e6,400001000000000000000000
0xd793281182a0e3e023116004778f45c29fc14f19,392829775837160491200000
0x850c0224f37f67c471e860375ac8e39fea61e8b0,345594018046138877843313
0xab5801a7d398351b8be11c439e05c5b3259aec9b,345003697580075194022431
0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,324999999364070240350400
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,309877918924266785662622
0x3bfc20f0b9afcace800d73d2191166ff16540258,306276272361399926202000
0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,300001020000000000000000
0x059799f2261d37b829c2850cee67b5b975432271,300001000070000000000000
0xe0f5b79ef9f748562a21d017bb7a6706954b7585,300001000000000000000000
0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,280000980983179370000000
0x8103683202aa8da10536036edef04cdd865c225e,274999999498319920955554
0xab6d4480014bb6968671e9da152e512ff8c51e8f,274835907677810000000000
0x97e935ddf3f5a2c4291e38f106194bb507dd28f9,273712290588940000000000
0x231568baa78111377f097bb087241f8379fa18f4,271767814000000000000000
0x189b9cbd4aff470af2c0102f365fc1823d857965,271532107619161771754824
0xbcf28d8132f48aec6e21019be77159dda5886c96,271104680226075678900000
0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,254248453916940000000000
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,250000017045971329543721
0x2825410c632851d9a8590bcf57c799c56dd4bad1,246473523461204051001001
